id,slug,name,category,description,relatedSymptoms,symptoms,causes,lifestyle,diet,recommendedFoods,avoidFoods,warningSigns,department,doctorQuestions,sourceRefs,searchKeywords
chronic-cough,chronic-cough,만성기침,호흡기 질환,기침이 오래 지속될 때 원인 확인과 기록에 도움이 되는 정보입니다.,기침 지속;마른기침;가래;목 이물감,8주 이상 기침;마른기침;가래;목 이물감,후비루;천식;역류;흡연;약물 영향 가능성,기침 시간대와 유발 상황을 기록합니다.;흡연과 먼지 노출을 줄입니다.;지속되면 진료 상담을 권장합니다.,자극이 적은 식사와 수분 섭취가 도움이 될 수 있습니다.;역류가 의심되면 야식은 주의합니다.,물;따뜻한 차;부드러운 음식,흡연;야식;과음;매운 음식,피 섞인 가래;체중 감소;호흡곤란;가슴통증,호흡기내과;이비인후과;소화기내과,기침 원인을 확인하려면 어떤 검사가 필요한가요?;역류와 관련될 수 있나요?;약물 영향이 있을 수 있나요?,article-chronic-cough-1;NHS,오래가는기침;마른기침;후비루;기침
arthritis,arthritis,관절염,근골격계 질환,관절 통증과 붓기가 있을 때 생활관리 참고자료입니다.,관절 통증;붓기;뻣뻣함;움직임 제한,관절 통증;붓기;뻣뻣함;움직임 제한,퇴행성 변화;자가면역 반응;과사용;체중 부담;부상,무리하지 않는 범위의 스트레칭을 유지합니다.;관절에 부담을 줄이는 운동을 선택합니다.;통증과 부기가 심하면 진료가 필요합니다.,균형 잡힌 단백질 섭취가 도움이 될 수 있습니다.;체중 관리를 돕는 식사 구성이 중요할 수 있습니다.,생선;두부;콩류;채소;올리브오일,과도한 음주;당분 많은 간식;고열량 가공식품,심한 붓기;관절 열감;움직임 제한 악화;발열 동반 통증,정형외과;류마티스내과;재활의학과,퇴행성과 염증성 관절염 감별이 필요한가요?;운동은 어느 정도까지 해도 되나요?;통증이 심한 날에는 어떻게 관리해야 하나요?,article-arthritis-1;NHS,관절통;무릎통증;류마티스;퇴행성
back-pain,back-pain,허리통증,근골격계 질환,허리 통증의 양상과 생활습관을 기록할 때 참고할 수 있는 정보입니다.,허리 통증;엉덩이 통증;다리 저림;움직임 제한,허리 통증;뻣뻣함;다리 저림 가능성;움직임 제한,근육 긴장;자세 문제;디스크 문제 가능성;과사용;부상,통증을 유발하는 자세를 기록합니다.;무거운 물건 들기를 피합니다.;신경 증상이 있으면 상담을 권장합니다.,체중 관리에 도움이 되는 균형식이 허리 부담을 줄이는 데 참고될 수 있습니다.,단백질 식품;채소;물;칼슘 식품,과음;고열량 간식;과식,대소변 조절 이상;다리 힘 빠짐;감각 저하;발열 동반 통증,정형외과;신경외과;재활의학과,디스크 검사가 필요한가요?;운동을 쉬어야 하는 기준은 무엇인가요?;물리치료가 도움이 될 수 있나요?,article-back-pain-1;MedlinePlus,요통;허리;디스크;좌골
neck-disc,neck-disc,목디스크,근골격계 질환,목 통증과 팔 저림이 있을 때 참고할 수 있는 정보입니다.,목 통증;어깨 통증;팔 저림;손저림,목 통증;어깨 통증;팔 저림;손 힘 빠짐,디스크 변화;자세 문제;장시간 스마트폰 사용;부상;근육 긴장,목과 팔 증상 위치를 기록합니다.;장시간 같은 자세를 피합니다.;힘 빠짐은 진료 상담을 권장합니다.,염증을 줄인다고 단정할 수는 없지만 균형식이 전반적 관리에 도움이 될 수 있습니다.,생선;채소;두부;물,과음;고열량 가공식품;야식,팔 힘 빠짐;감각 저하;보행 이상;심한 두통 동반,정형외과;신경외과;재활의학과,영상검사가 필요한가요?;손저림이 목과 관련될 수 있나요?;운동은 어떻게 조절해야 하나요?,article-neck-disc-1;NHS,경추디스크;목통증;손저림;팔저림
frozen-shoulder,frozen-shoulder,오십견,근골격계 질환,어깨 움직임 제한과 통증이 있을 때 참고할 수 있는 정보입니다.,어깨 통증;팔 올리기 어려움;야간 통증;움직임 제한,어깨 통증;팔 올리기 어려움;야간 통증;관절 운동 제한,어깨 관절낭 변화;당뇨 관련 가능성;부상 후 움직임 감소;노화,통증 범위 안에서 움직임을 기록합니다.;무리한 스트레칭은 피합니다.;지속되면 정형외과 상담을 고려합니다.,체중과 혈당 관리가 필요한 경우 균형식이 도움이 될 수 있습니다.,단백질 식품;채소;물;견과류,과음;과식;고당 간식,심한 외상 후 통증;팔 힘 빠짐;감각 이상;발열,정형외과;재활의학과,오십견인지 회전근개 문제인지 확인이 필요한가요?;운동 범위는 어떻게 늘리나요?;통증이 심할 때는 어떻게 해야 하나요?,article-frozen-shoulder-1;대학병원 건강정보,동결견;어깨통증;팔올리기;야간통증
carpal-tunnel,carpal-tunnel,손목터널증후군,근골격계 질환,손저림과 손목 통증이 반복될 때 참고할 수 있는 정보입니다.,손저림;손목 통증;손가락 저림;악력 감소,손저림;손목 통증;손가락 저림;야간 저림,손목 과사용;정중신경 압박;임신 또는 부종;당뇨 관련 가능성;반복 작업,손목 사용 시간을 기록합니다.;반복 동작 사이 휴식을 둡니다.;감각 저하가 지속되면 상담을 권장합니다.,전반적인 체중과 혈당 관리가 필요한 경우 균형식이 도움이 될 수 있습니다.,채소;단백질 식품;물;통곡물,과음;고열량 간식;짠 음식 과다,손 힘 빠짐;감각 저하 지속;근육 위축;심한 통증,정형외과;신경과;재활의학과,신경검사가 필요한가요?;보조기 사용이 도움이 될 수 있나요?;작업 습관은 어떻게 바꾸면 좋나요?,article-carpal-tunnel-1;MedlinePlus,손목터널;손저림;정중신경;손목통증
insomnia,insomnia,불면증,정신건강 / 수면,잠들기 어려움과 낮 피로를 기록할 때 참고할 수 있는 수면 정보입니다.,입면 어려움;중간 각성;이른 기상;낮 피로,입면 어려움;중간 각성;이른 기상;낮 피로감,스트레스;카페인;불규칙한 수면 시간;빛 노출;불안,매일 비슷한 시간에 일어납니다.;잠들기 전 화면 노출을 줄입니다.;카페인은 오후 늦게 피하는 것이 좋습니다.,저녁 과식과 음주는 수면에 방해가 될 수 있어 주의가 필요합니다.;따뜻한 무카페인 음료가 긴장 완화에 도움이 될 수 있습니다.,무카페인 허브차;바나나;견과류;따뜻한 우유,저녁 카페인;음주;야식;과식,일상생활이 어려운 피로;우울감;불안 악화;자살 생각,정신건강의학과;수면클리닉;가정의학과,수면검사나 수면클리닉 상담이 필요한가요?;수면제 없이 시도할 수 있는 방법은 무엇인가요?;카페인과 생활 리듬은 어떻게 조절해야 하나요?,article-insomnia-1;NHS,수면;잠;불면;입면
anxiety,anxiety,불안,정신건강 / 수면,걱정과 긴장이 반복될 때 기록과 상담 기준을 확인하는 정보입니다.,불안;심장 두근거림;숨참;긴장,과도한 걱정;긴장;두근거림;숨참,스트레스;수면 부족;카페인;생활 변화;신체 질환 가능성,불안이 커지는 상황을 기록합니다.;카페인과 수면 상태를 함께 확인합니다.;일상에 지장이 있으면 상담을 권장합니다.,카페인과 과음은 불안을 악화시킬 수 있어 주의가 필요합니다.;규칙적인 식사가 도움이 될 수 있습니다.,물;따뜻한 차;견과류;균형식,과도한 카페인;에너지 음료;과음;공복 지속,자살 생각;극심한 공포;호흡곤란 지속;일상 기능 저하,정신건강의학과;가정의학과,불안 증상이 신체 질환과 관련될 수 있나요?;상담이나 치료가 필요한 기준은 무엇인가요?;생활기록은 어떻게 하면 좋나요?,article-anxiety-1;NHS,불안감;공황;긴장;걱정
depressed-mood,depressed-mood,우울감,정신건강 / 수면,기분 저하와 의욕 저하가 지속될 때 상담 기준을 확인하는 정보입니다.,우울감;의욕 저하;식욕 변화;수면 변화,기분 저하;흥미 감소;피로;수면 또는 식욕 변화,스트레스;상실 경험;수면 부족;호르몬 변화;신체 질환 가능성,기분과 수면 변화를 기록합니다.;혼자 판단하지 않고 도움을 요청합니다.;자살 생각은 즉시 도움을 요청합니다.,규칙적인 식사와 수분 섭취가 컨디션 기록에 도움이 될 수 있습니다.;과음은 주의가 필요합니다.,균형식;물;과일;단백질 식품,과음;식사 거르기;과도한 카페인,자살 생각;일상생활 어려움;식사 불가;극심한 무기력,정신건강의학과;가정의학과,우울감이 얼마나 지속되면 상담이 필요한가요?;수면 변화와 관련이 있나요?;주변 도움은 어떻게 요청하나요?,article-depressed-mood-1;WHO,우울;기분저하;무기력;의욕저하
stress-headache,stress-headache,스트레스성 두통,정신건강 / 수면,긴장과 스트레스 상황에서 두통이 반복될 때 참고할 수 있는 정보입니다.,두통;목 어깨 긴장;눈 피로;스트레스,조이는 듯한 두통;목 어깨 긴장;눈 피로;피로감,스트레스;수면 부족;자세 문제;장시간 화면 사용;카페인 변화,두통 시간과 스트레스 상황을 기록합니다.;수면과 화면 사용 시간을 조절합니다.;갑작스러운 심한 두통은 즉시 상담합니다.,수분 섭취와 규칙적인 식사가 도움이 될 수 있습니다.;과도한 카페인은 주의가 필요합니다.,물;견과류;과일;균형식,과도한 카페인;과음;식사 거르기,갑작스러운 심한 두통;마비;말이 어눌함;의식저하,신경과;정신건강의학과;가정의학과,두통 양상상 검사가 필요한가요?;스트레스 관리 방법은 무엇인가요?;약 복용 빈도는 어떻게 봐야 하나요?,article-stress-headache-1;MedlinePlus,긴장성두통;스트레스;두통;눈피로
atopic-dermatitis,atopic-dermatitis,아토피 피부염,피부 질환,피부 가려움과 건조가 반복될 때 참고할 수 있는 피부 정보입니다.,피부 가려움;건조;발진;진물,피부 가려움;건조;붉은 발진;진물 가능성,피부 장벽 약화;알레르기;건조한 환경;스트레스;자극 물질,보습 시간을 기록합니다.;자극이 되는 세제와 옷감을 피합니다.;악화가 반복되면 피부과 상담을 권장합니다.,개인별 유발 음식은 다를 수 있어 기록이 도움이 됩니다.;균형 잡힌 식사를 유지합니다.,물;채소;생선;균형식,개인 유발 음식;과음;자극적인 음식,진물 심화;감염 의심;심한 가려움;발열,피부과;알레르기내과,보습제는 어떻게 선택하면 좋나요?;알레르기 검사가 필요한가요?;악화 요인은 어떻게 기록하나요?,article-atopic-dermatitis-1;NHS,아토피;피부건조;가려움;습진
urticaria,urticaria,두드러기,피부 질환,갑작스러운 피부 팽진과 가려움이 있을 때 참고할 수 있는 정보입니다.,두드러기;피부 가려움;붉은 팽진;부종,가려운 팽진;붉은 발진;부종;따가움,음식 또는 약물;감염;온도 변화;스트레스;원인 불명,발생 시간과 음식 약물을 기록합니다.;호흡곤란이나 입술 부종은 즉시 도움을 요청합니다.;반복되면 상담을 고려합니다.,개인 유발 음식이 의심되면 기록이 도움이 됩니다.;과음은 주의가 필요합니다.,물;자극 적은 음식;균형식,의심 유발 음식;술;자극적인 음식,호흡곤란;입술 또는 혀 부종;어지러움;전신 증상,피부과;알레르기내과;응급의학과,알레르기 검사가 필요한가요?;응급실에 가야 하는 증상은 무엇인가요?;의심 음식은 어떻게 기록하나요?,article-urticaria-1;CDC,두드러기;팽진;알레르기;피부부종
acne,acne,여드름,피부 질환,피지와 염증성 병변이 반복될 때 참고할 수 있는 피부 정보입니다.,여드름;피부 트러블;피지;붉은 뾰루지,면포;붉은 뾰루지;피지 증가;염증성 병변,피지 분비;호르몬 변화;화장품 자극;수면 부족;스트레스,피부 자극 제품을 줄입니다.;수면과 식습관을 기록합니다.;흉터 우려가 있으면 피부과 상담을 고려합니다.,고당 식품과 개인 유발 음식을 기록해 볼 수 있습니다.;균형식이 전반적 관리에 도움이 될 수 있습니다.,물;채소;과일;균형식,고당 간식;기름진 음식 과다;과음,심한 통증;넓은 염증;흉터 우려;발열 동반,피부과,흉터 예방을 위해 어떤 관리가 필요한가요?;화장품을 어떻게 조절해야 하나요?;식습관 기록이 도움이 될까요?,article-acne-1;대학병원 건강정보,여드름;피지;뾰루지;피부트러블
psoriasis,psoriasis,건선,피부 질환,붉은 판과 각질이 반복될 때 참고할 수 있는 피부 정보입니다.,각질;붉은 반점;피부 가려움;두꺼운 피부,붉은 판;각질;가려움;피부 갈라짐,면역 관련 요인;유전적 요인;스트레스;감염;피부 자극,피부 상태와 스트레스 변화를 기록합니다.;자극과 건조를 줄입니다.;관절 통증이 있으면 상담을 권장합니다.,과음과 체중 증가는 악화 요인이 될 수 있어 주의가 필요합니다.;균형식이 전반적 관리에 도움이 될 수 있습니다.,채소;생선;물;통곡물,과음;고열량 가공식품;자극적인 음식,관절 통증 동반;피부 갈라짐 심화;감염 의심;넓은 범위 악화,피부과;류마티스내과,건선인지 확인하려면 어떤 진료가 필요한가요?;관절 증상도 관련될 수 있나요?;생활 악화 요인은 어떻게 찾나요?,article-psoriasis-1;NHS,건선;각질;피부반점;판상
hemorrhoids,hemorrhoids,치질,항문 / 대장 질환,치질은 항문 주변 혈관이나 조직에 문제가 생겨 통증 출혈 부종 불편감 등이 나타날 수 있는 항문 질환을 통칭하는 표현입니다. 증상이 지속되거나 출혈이 반복되면 의료기관 상담이 권장됩니다.,항문 통증;항문 출혈;배변 시 통증;항문 가려움;항문 부종;변에 피가 묻음;휴지에 피가 묻음;항문 불편감;잔변감,배변 시 통증;항문 주변 통증;선홍색 출혈;항문 가려움;항문 주변 부종;앉을 때 불편감,변비;오래 앉아 있는 생활습관;과도한 힘주기;임신과 출산;섬유질 부족;잦은 설사;배변 습관 문제,배변 시 과도하게 힘을 주지 않고 오래 앉아 있는 시간을 줄이며 충분한 수분 섭취와 섬유질 섭취가 도움이 될 수 있습니다.;증상이 심하거나 출혈이 반복되면 항문외과 또는 대장항문외과 상담이 필요할 수 있습니다.,변비를 줄이기 위해 수분 섭취와 식이섬유가 풍부한 식품을 참고할 수 있습니다.;개인 상태에 따라 다를 수 있으므로 증상이 심하면 의료기관 상담을 권장합니다.,물;채소;과일;통곡물;식이섬유가 풍부한 음식;부드러운 음식,과도한 술;지나치게 매운 음식;기름진 음식;변비를 악화시킬 수 있는 식습관;과도한 카페인,출혈이 반복되는 경우;피가 많이 나는 경우;심한 통증이 있는 경우;항문 주변 고름이나 분비물이 있는 경우;열이 동반되는 경우;체중 감소가 동반되는 경우;검은 변이 나오는 경우,대장항문외과;외과;소화기내과,현재 증상이 치핵 치열 치루 중 어떤 가능성이 있나요?;출혈 원인을 확인하기 위해 검사가 필요한가요?;생활습관이나 배변 습관에서 무엇을 조정해야 하나요?;약물치료나 시술이 필요한 상태인가요?;좌욕이나 식이섬유 섭취가 도움이 될 수 있나요?,article-hemorrhoids-1;article-hemorrhoids-2;MedlinePlus,치질;치핵;치열;치루;항문통증;항문 통증;항문출혈;항문 출혈;배변통;배변 시 통증;똥쌀때 피;대변 볼 때 피;휴지에 피;변에 피;항문 가려움;항문 부음;항문 불편감;좌욕;변비
hemorrhoidal-disease,hemorrhoidal-disease,치핵,항문 / 대장 질환,치핵은 항문 주변 혈관 조직이 부풀거나 내려오면서 출혈 통증 불편감이 나타날 수 있는 상태입니다. 증상이 반복되면 정확한 진단과 치료는 의료기관 상담이 필요합니다.,치질;항문 출혈;항문 부종;항문 불편감;배변 시 통증;휴지에 피가 묻음,선홍색 출혈;항문 주변 덩어리 느낌;앉을 때 불편감;항문 가려움,변비;과도한 힘주기;오래 앉기;임신과 출산;섬유질 부족,배변 시간을 길게 끌지 않고 수분과 식이섬유 섭취를 점검합니다.;출혈이나 통증이 반복되면 대장항문외과 상담이 권장됩니다.,변비 완화를 돕는 수분과 식이섬유 섭취가 도움이 될 수 있습니다.;매운 음식과 과음은 주의가 필요합니다.,물;채소;과일;통곡물;부드러운 음식,과도한 술;매운 음식;기름진 음식;과도한 카페인,출혈 반복;피가 많이 남;심한 통증;검은 변;체중 감소,대장항문외과;외과;소화기내과,치핵 정도를 확인하기 위한 진료가 필요한가요?;출혈 원인은 어떻게 확인하나요?;배변 습관은 어떻게 조정하면 좋나요?,article-hemorrhoids-1;article-hemorrhoids-3,치핵;치질;항문출혈;휴지에 피;항문 부음;항문 덩어리;좌욕;변비
anal-fissure,anal-fissure,치열,항문 / 대장 질환,치열은 항문 부위가 찢어지거나 상처가 생겨 배변 시 통증과 선홍색 출혈이 나타날 수 있는 상태입니다. 증상이 지속되면 의료기관 상담을 권장합니다.,치질;배변 시 통증;항문 통증;선홍색 출혈;휴지에 피가 묻음;변비,배변 시 날카로운 통증;선홍색 출혈;항문 불편감;배변 후 통증 지속,딱딱한 변;변비;과도한 힘주기;잦은 설사;항문 자극,딱딱한 변을 줄이기 위해 수분과 식이섬유 섭취를 점검합니다.;통증이 반복되면 대장항문외과 상담이 필요할 수 있습니다.,수분과 식이섬유가 풍부한 식품이 배변 부담을 줄이는 데 도움이 될 수 있습니다.;개인 상태에 따라 다를 수 있습니다.,물;채소;과일;통곡물;부드러운 음식,지나치게 매운 음식;과도한 술;변비를 악화시킬 수 있는 식습관,출혈 반복;심한 통증;열 동반;고름이나 분비물;검은 변,대장항문외과;외과,치열 가능성이 있는지 확인이 필요한가요?;통증이 지속될 때 어떤 검사가 필요한가요?;변비 관리는 어떻게 해야 하나요?,article-anal-fissure-1;MedlinePlus,치열;치질;항문통증;배변통;배변 시 통증;대변 볼 때 피;휴지에 피;변비;좌욕
anal-fistula,anal-fistula,치루,항문 / 대장 질환,치루는 항문 주변에 통로가 생겨 고름이나 분비물 통증 부종이 반복될 수 있는 항문 질환입니다. 정확한 진단과 치료는 의료기관 상담이 필요합니다.,치질;항문 통증;항문 주변 고름;항문 분비물;항문 부종;열감,항문 주변 통증;고름 또는 분비물;부종;반복되는 불편감;열감 가능성,항문 주변 감염;농양 이후 변화;염증;배변 습관 문제,분비물과 통증이 반복되는지 기록합니다.;고름 열감 발열이 있으면 빠른 의료기관 상담을 권장합니다.,자극적인 음식과 과음은 불편감을 키울 수 있어 주의가 필요합니다.;수분 섭취와 균형식은 배변 부담 관리에 도움이 될 수 있습니다.,물;채소;부드러운 음식;통곡물,과도한 술;지나치게 매운 음식;기름진 음식,항문 주변 고름이나 분비물;열이 동반되는 경우;심한 통증;부종 악화;출혈 반복,대장항문외과;외과,치루 가능성을 확인하려면 어떤 검사가 필요한가요?;고름이나 분비물이 있을 때 어떻게 해야 하나요?;생활습관에서 주의할 점은 무엇인가요?,article-anal-fistula-1;대학병원 건강정보,치루;치질;항문 고름;항문 분비물;항문통증;항문 부종;항문 불편감;대장항문외과
