id,diseaseId,symptomKeywords,title,category,description,recommendedExercises,cautionExercises,suitableFor,notSuitableFor,intensity,frequency,duration,warning,videoSearchUrl
exercise-diabetes-1,diabetes,혈당 상승;갈증;피로,당뇨 생활관리 참고 운동,유산소,혈당 변화와 컨디션을 기록하며 무리하지 않는 활동을 참고할 수 있습니다.,걷기;가벼운 근력운동;식후 가벼운 활동,공복 고강도 운동;무리한 장시간 운동,혈당과 식사 상태를 기록하며 가벼운 운동을 시작하려는 사람,저혈당 증상이나 어지러움이 있는 사람,보통,주 3~5회,20~30분,저혈당 위험이 있을 수 있으므로 약 복용 식사 상태 혈당 상태에 따라 의료진 상담이 필요할 수 있습니다.,https://www.youtube.com/results?search_query=당뇨+운동요법
exercise-hypertension-1,hypertension,혈압 상승;두통;가슴 답답함,고혈압 생활관리 참고 운동,유산소,혈압 기록과 함께 낮은 강도의 유산소 운동을 참고할 수 있습니다.,가벼운 걷기;스트레칭;호흡 안정 운동,갑작스러운 고강도 운동;무거운 중량 운동,혈압을 기록하며 운동 습관을 만들려는 사람,가슴통증이나 호흡곤란이 있는 사람,보통,주 3~5회,20~30분,갑작스러운 고강도 운동과 무거운 중량 운동은 주의가 필요할 수 있습니다.,https://www.youtube.com/results?search_query=고혈압+운동
exercise-hyperlipidemia-1,hyperlipidemia,콜레스테롤;중성지방;검진 이상,고지혈증 유산소 참고 운동,유산소,지질 수치와 생활습관 기록을 함께 볼 때 참고할 수 있는 운동입니다.,걷기;자전거;수영,갑작스러운 고강도 인터벌;무리한 장거리 운동,검진 후 활동량을 늘리고 싶은 사람,심혈관 증상이 있거나 운동 제한을 안내받은 사람,보통,주 3~5회,30분 내외,개인 체력과 심혈관 상태에 따라 운동 강도를 조절해야 합니다.,https://www.youtube.com/results?search_query=고지혈증+운동
exercise-fatty-liver-1,fatty-liver,간수치 상승;복부비만;피로,지방간 생활관리 참고 운동,유산소,체중과 간수치 기록을 함께 보며 활동량을 늘리는 데 참고할 수 있습니다.,걷기;실내 자전거;가벼운 근력운동,무리한 고강도 운동;음주 후 운동,활동량이 적고 체중 관리를 시작하려는 사람,심한 피로와 복통이 있는 사람,보통,주 3~5회,20~40분,간수치 이상이 지속되거나 통증이 있으면 의료기관 상담을 권장합니다.,https://www.youtube.com/results?search_query=지방간+운동
exercise-obesity-1,obesity,체중 증가;복부비만;숨참,비만 생활활동 참고 운동,유산소,무리하지 않는 활동량 증가를 목표로 하는 생활관리 참고자료입니다.,걷기;계단 대신 평지 걷기;가벼운 근력운동,관절 통증을 악화시키는 점프 운동;무리한 고강도 운동,체중과 활동량을 함께 기록하려는 사람,심한 숨참이나 가슴통증이 있는 사람,낮음,주 4~6회,10~30분,통증이나 호흡곤란이 생기면 운동을 중단하고 상담이 필요합니다.,https://www.youtube.com/results?search_query=비만+운동+걷기
exercise-gastritis-1,gastritis,속쓰림;소화불량;상복부 통증,위염 식후 생활관리 활동,생활관리,식후 바로 눕지 않고 가벼운 활동을 참고할 수 있습니다.,식후 가벼운 걷기;상체 세우기;복부 압박이 적은 활동,식후 강한 복근운동;몸을 많이 숙이는 운동,식후 더부룩함을 기록하는 사람,심한 복통이나 구토가 있는 사람,낮음,증상에 따라,10~20분,식후 강한 운동은 증상에 따라 주의가 필요할 수 있습니다.,https://www.youtube.com/results?search_query=위염+생활관리+걷기
exercise-reflux-1,reflux,속쓰림;신물 역류;목 이물감,역류성 식도염 식후 활동 참고,생활관리,식후 자세와 가벼운 활동을 관리하는 참고자료입니다.,식후 가벼운 걷기;상체 세우기;느린 산책,식후 바로 눕기;강한 복근운동;몸 숙이기,식후 역류감을 기록하는 사람,가슴통증이나 삼킴 곤란이 있는 사람,낮음,증상에 따라,10~20분,가슴통증이 있으면 운동보다 의료기관 상담이 우선입니다.,https://www.youtube.com/results?search_query=역류성식도염+생활관리+운동
exercise-ibs-1,ibs,복통;복부팽만;변비;설사,과민성대장증후군 긴장 완화 활동,스트레칭,복부 긴장과 스트레스 상황을 함께 기록하며 참고할 수 있는 활동입니다.,가벼운 걷기;복식호흡;전신 스트레칭,복통이 심한 때의 강한 운동;식후 바로 격한 운동,스트레스와 배변 변화를 기록하는 사람,혈변 체중 감소 야간 설사가 있는 사람,낮음,주 3~5회,10~20분,혈변이나 체중 감소가 있으면 생활관리보다 진료 상담이 필요합니다.,https://www.youtube.com/results?search_query=과민성대장증후군+운동+스트레칭
exercise-constipation-1,constipation,변비;잔변감;복부팽만,변비 생활관리 참고 활동,유산소,장운동과 배변 습관을 기록하며 참고할 수 있는 활동입니다.,걷기;가벼운 복부 마사지;전신 스트레칭,통증이 심한 때의 복부 압박 운동;무리한 복근운동,활동량이 적고 변비를 기록하는 사람,심한 복통이나 구토가 있는 사람,낮음,주 4~6회,10~30분,심한 복통이나 혈변이 있으면 의료기관 상담을 권장합니다.,https://www.youtube.com/results?search_query=변비+운동+걷기
exercise-hemorrhoids-1,hemorrhoids,치질;항문 통증;항문 출혈;변비,치질 항문질환 생활관리 참고 활동,생활관리,오래 앉아 있는 시간을 줄이고 배변 부담을 낮추는 데 참고할 수 있습니다.,가벼운 걷기;오래 앉기 중간 휴식;골반 주변 긴장 완화,무거운 중량 운동;과도한 힘주기;장시간 자전거,항문 불편감과 변비를 기록하는 사람,심한 통증 출혈 고름 열이 있는 사람,낮음,매일 또는 주 4~6회,10~20분,심한 통증 출혈 고름 열이 있으면 의료기관 상담이 필요합니다.,https://www.youtube.com/results?search_query=치질+생활관리+운동
exercise-arthritis-1,arthritis,관절 통증;무릎 통증;관절 붓기,관절염 부담 적은 참고 운동,스트레칭,관절 부담을 줄이며 움직임을 유지하는 데 참고할 수 있습니다.,수중운동;가벼운 스트레칭;평지 걷기,점프 운동;통증을 참는 운동;무리한 계단 운동,관절 통증이 가볍고 움직임을 유지하려는 사람,관절 열감 붓기 발열이 있는 사람,낮음,주 3~5회,10~30분,통증이 심한 날에는 무리한 운동을 피하고 의료기관 상담이 필요할 수 있습니다.,https://www.youtube.com/results?search_query=관절염+운동
exercise-back-pain-1,back-pain,허리통증;허리 통증;다리 저림,허리 안정화 참고 운동,자세교정,허리 통증 양상을 기록하며 무리하지 않는 안정화 운동을 참고할 수 있습니다.,가벼운 걷기;허리 안정화 운동;코어 근육 강화 참고,무거운 중량 들기;통증을 유발하는 굽힘 운동;갑작스러운 비틀기,가벼운 허리 불편감을 관리하려는 사람,다리 저림 마비 대소변 이상이 있는 사람,낮음,주 3~5회,10~20분,다리 저림 마비 대소변 이상이 있으면 즉시 의료기관 상담이 필요합니다.,https://www.youtube.com/results?search_query=허리통증+운동
exercise-neck-disc-1,neck-disc,목 통증;손저림;팔 저림,목디스크 자세관리 참고 운동,자세교정,목 주변 긴장 완화와 바른 자세 유지에 참고할 수 있습니다.,목 주변 긴장 완화 스트레칭;어깨 펴기;화면 높이 조정,목을 강하게 꺾는 동작;통증을 참는 스트레칭,목 통증과 자세 습관을 기록하는 사람,팔 저림 감각 이상 근력 저하가 있는 사람,낮음,매일 짧게,5~10분,팔 저림 감각 이상 근력 저하가 있으면 의료기관 상담이 필요합니다.,https://www.youtube.com/results?search_query=목디스크+스트레칭
exercise-frozen-shoulder-1,frozen-shoulder,어깨 통증;팔 올리기 어려움;야간 통증,오십견 어깨 범위 참고 운동,스트레칭,어깨 움직임 범위를 기록하며 무리하지 않는 활동을 참고할 수 있습니다.,어깨 가동범위 운동;가벼운 벽타기 운동;온찜질 후 스트레칭,통증을 참는 강한 스트레칭;무거운 어깨 운동,어깨 움직임 제한을 기록하는 사람,외상 후 심한 통증이 있는 사람,낮음,주 3~5회,5~15분,통증이 심하거나 악화되면 운동을 중단하고 상담이 필요합니다.,https://www.youtube.com/results?search_query=오십견+운동
exercise-carpal-tunnel-1,carpal-tunnel,손저림;손목 통증;손 힘 빠짐,손목터널증후군 손목 부담 줄이기,자세교정,손목 사용 습관과 휴식 간격을 정리하는 참고자료입니다.,손목 중립 자세;손목 휴식;가벼운 손가락 스트레칭,손목을 강하게 꺾는 동작;장시간 반복 작업,손목 사용량이 많은 사람,손 힘 빠짐이나 감각 저하가 지속되는 사람,낮음,매일 짧게,3~10분,손 힘 빠짐이나 감각 저하가 지속되면 의료기관 상담이 필요합니다.,https://www.youtube.com/results?search_query=손목터널증후군+스트레칭
exercise-insomnia-1,insomnia,불면;입면 어려움;낮 피로,불면증 수면관리 참고 운동,수면관리,낮 시간 활동과 수면 전 긴장완화에 참고할 수 있습니다.,낮 시간 가벼운 걷기;수면 전 긴장완화 스트레칭;호흡 안정 운동,잠들기 직전 격한 운동;늦은 밤 고강도 운동,수면 습관을 기록하는 사람,심한 우울감이나 자살 생각이 있는 사람,낮음,주 3~5회,10~30분,잠들기 직전 격한 운동은 수면에 방해가 될 수 있습니다.,https://www.youtube.com/results?search_query=불면증+운동+수면위생
exercise-anxiety-1,anxiety,불안;두근거림;긴장,불안 긴장완화 참고 활동,호흡,불안 상황과 신체 반응을 기록하며 참고할 수 있는 활동입니다.,복식호흡;느린 걷기;가벼운 스트레칭,과호흡을 유발하는 무리한 운동;카페인 후 고강도 운동,긴장과 두근거림을 기록하는 사람,가슴통증 실신 호흡곤란이 있는 사람,낮음,필요 시 짧게,5~15분,가슴통증이나 호흡곤란이 동반되면 의료기관 상담이 필요합니다.,https://www.youtube.com/results?search_query=불안+호흡운동
exercise-rhinitis-1,rhinitis,코막힘;콧물;재채기,비염 호흡 안정 참고 활동,호흡,코막힘이 있을 때 무리하지 않는 호흡과 환경관리를 참고할 수 있습니다.,가벼운 걷기;호흡 안정 운동;실내 습도 점검,먼지 많은 환경 운동;찬 공기 고강도 운동,비염 증상과 환경을 기록하는 사람,호흡곤란이 있는 사람,낮음,주 3~5회,10~20분,호흡곤란이 있으면 운동을 중단하고 의료기관 상담을 권장합니다.,https://www.youtube.com/results?search_query=비염+호흡운동
exercise-asthma-1,asthma,숨참;쌕쌕거림;기침,천식 무리하지 않는 운동 참고,호흡,호흡 상태를 기록하며 낮은 강도 활동을 참고할 수 있습니다.,무리하지 않는 걷기;호흡 안정 운동;준비운동과 정리운동,찬 공기 고강도 운동;증상 중 운동 지속,천식 증상을 기록하고 활동을 조절하려는 사람,호흡곤란이나 발작 증상이 있는 사람,낮음,상태에 따라,5~20분,호흡곤란이나 천식 발작이 있는 경우 운동을 중단하고 의료기관 상담이 필요합니다.,https://www.youtube.com/results?search_query=천식+운동+호흡
exercise-bronchitis-1,bronchitis,기침;가래;미열,기관지염 회복기 참고 활동,호흡,기침이 완화되는 시기에 무리하지 않는 활동을 참고할 수 있습니다.,짧은 산책;호흡 안정;가벼운 스트레칭,고열 중 운동;호흡곤란 중 운동;찬 공기 장시간 운동,기침 회복기에 활동량을 조절하려는 사람,고열 호흡곤란 피 섞인 가래가 있는 사람,낮음,상태에 따라,5~15분,고열 호흡곤란 피 섞인 가래가 있으면 의료기관 상담이 필요합니다.,https://www.youtube.com/results?search_query=기관지염+회복+운동
exercise-gout-1,gout,통풍;발가락 통증;관절 열감,통풍 관절 부담 줄이기 참고 운동,생활관리,통증이 없는 시기에 관절 부담을 줄이며 활동량을 유지하는 참고자료입니다.,평지 걷기;수중운동;가벼운 스트레칭,통증 부위에 부담 주는 운동;발작 중 운동,요산과 통증 발생일을 기록하는 사람,관절 열감 발열 심한 통증이 있는 사람,낮음,주 3~5회,10~20분,통증이 심한 시기에는 운동보다 의료기관 상담이 필요할 수 있습니다.,https://www.youtube.com/results?search_query=통풍+운동+관리
exercise-stress-headache-1,stress-headache,두통;목 어깨 긴장;눈 피로,스트레스성 두통 긴장완화 활동,스트레칭,목 어깨 긴장과 화면 사용 시간을 기록하며 참고할 수 있습니다.,목 어깨 스트레칭;가벼운 산책;호흡 안정,갑작스러운 고강도 운동;통증 악화 동작,긴장성 두통과 자세를 기록하는 사람,갑작스러운 심한 두통이나 마비 증상이 있는 사람,낮음,매일 짧게,5~15분,갑작스러운 심한 두통은 응급 신호일 수 있어 상담이 필요합니다.,https://www.youtube.com/results?search_query=긴장성두통+스트레칭
