id,name,relatedDiseaseIds,category,description,emergencyLevel,recommendedAction,searchAliases
sym-001,가슴통증,angina;hypertension;arteriosclerosis,심혈관 질환,가슴 통증은 응급 신호일 수 있어 양상 확인이 필요합니다.,emergency,통증이 지속되거나 숨참 식은땀이 동반되면 즉시 응급 도움을 요청하세요.,흉통;가슴 아픔;가슴압박;심장통증
sym-002,호흡곤란,asthma;angina;bronchitis,호흡기 질환,숨쉬기 어렵거나 말하기 힘든 증상입니다.,emergency,증상이 심하면 즉시 119 또는 응급실 도움을 요청하세요.,숨참;숨이참;숨막힘;숨쉬기 어려움
sym-003,의식저하,hypotension;stress-headache,기타,반응이 둔하거나 깨우기 어려운 상태입니다.,emergency,즉시 응급 도움을 요청하세요.,의식 흐림;반응저하;깨우기 어려움
sym-004,한쪽 팔다리 마비,arteriosclerosis;hypertension,심혈관 질환,한쪽 팔이나 다리에 힘이 빠지는 증상입니다.,emergency,뇌졸중 가능성을 배제할 수 없어 즉시 응급실 상담이 필요합니다.,편마비;팔마비;다리마비;한쪽 힘빠짐
sym-005,말이 어눌함,arteriosclerosis;hypertension,심혈관 질환,말이 갑자기 부정확해지는 증상입니다.,emergency,갑자기 발생하면 즉시 응급 도움을 요청하세요.,발음 이상;말 어눌;언어장애
sym-006,심한 두통,stress-headache;hypertension,정신건강 / 수면,갑작스럽고 매우 강한 두통입니다.,emergency,평소와 다른 극심한 두통이면 즉시 의료기관 상담이 필요합니다.,극심한 두통;벼락두통;갑작스러운 두통
sym-007,심한 복통,gastritis;diarrhea;gallstones,소화기 질환,강한 복통이나 악화되는 복통입니다.,emergency,통증이 심하거나 발열 구토가 동반되면 빠른 진료가 필요합니다.,극심한 복통;배가 심하게 아픔;복통 심함
sym-008,피를 토함,gastritis;reflux,소화기 질환,토사물에 피가 섞이는 증상입니다.,emergency,즉시 응급실 상담을 권장합니다.,토혈;피 섞인 구토;피구토
sym-009,검은 변,gastritis;hemorrhoids,소화기 질환,검고 끈적한 변은 출혈 신호일 수 있습니다.,emergency,반복되면 빠른 의료기관 상담이 필요합니다.,흑변;검정변;까만 변
sym-010,자살 생각,depressed-mood;insomnia;anxiety,정신건강 / 수면,스스로를 해치고 싶은 생각입니다.,emergency,즉시 주변 사람과 전문기관에 도움을 요청하세요.,자해 생각;죽고 싶음;극단적 생각
sym-011,극심한 어지러움,hypotension;arrhythmia,심혈관 질환,서 있기 어렵거나 쓰러질 것 같은 어지러움입니다.,emergency,실신 가능성이 있으면 즉시 도움을 요청하세요.,심한 어지러움;쓰러질 것 같음;현기증 심함
sym-012,속쓰림,gastritis;reflux,소화기 질환,명치나 가슴 아래쪽이 쓰린 느낌입니다.,caution,반복되거나 체중 감소가 동반되면 소화기내과 상담을 권장합니다.,위쓰림;가슴쓰림;쓰림
sym-013,더부룩함,gastritis;ibs,소화기 질환,식후 배가 답답하거나 소화가 느린 느낌입니다.,normal,식사와 증상 시간을 기록해 보세요.,복부 답답함;배더부룩;소화 안됨
sym-014,소화불량,gastritis;gallstones;reflux,소화기 질환,식후 불편감이나 체한 느낌입니다.,normal,반복되면 식사 일지와 함께 상담을 준비하세요.,체함;소화 안됨;위 불편
sym-015,혈당 상승,diabetes,대사 질환,혈당 수치가 높게 확인되는 상태입니다.,caution,반복적으로 높으면 의료진 상담을 권장합니다.,고혈당;혈당 높음;당 수치
sym-016,갈증,diabetes,대사 질환,물을 자주 마시고 싶은 느낌입니다.,normal,잦은 소변이나 체중 감소가 함께 있으면 상담을 고려하세요.,목마름;심한 갈증;물을 많이 마심
sym-017,잦은 소변,diabetes,대사 질환,소변 횟수가 늘어난 상태입니다.,normal,갈증과 체중 변화가 함께 있으면 기록해 보세요.,다뇨;소변 자주;화장실 자주
sym-018,피로,diabetes;fatty-liver;depressed-mood,기타,쉽게 지치거나 회복이 더딘 느낌입니다.,normal,수면 식사 활동량을 함께 기록해 보세요.,피곤;피로감;무기력
sym-019,두통,hypertension;stress-headache;insomnia,정신건강 / 수면,머리가 아프거나 조이는 느낌입니다.,normal,갑작스럽고 심하면 응급 신호일 수 있습니다.,머리아픔;머리 통증;긴장성두통
sym-020,어지러움,hypotension;arrhythmia;hypertension,심혈관 질환,빙글거리거나 쓰러질 듯한 느낌입니다.,caution,실신이나 가슴통증이 동반되면 빠른 상담이 필요합니다.,현기증;어질어질;기립성 어지러움
sym-021,불면,insomnia;anxiety;depressed-mood,정신건강 / 수면,잠들기 어렵거나 자주 깨는 상태입니다.,normal,2주 이상 지속되면 상담을 고려하세요.,잠 안옴;잠을 못잠;수면장애
sym-022,코막힘,rhinitis,호흡기 질환,코로 숨쉬기 어려운 상태입니다.,normal,환경과 시간대를 기록해 보세요.,코가 막힘;막힌 코;비폐색
sym-023,콧물,rhinitis,호흡기 질환,코에서 분비물이 흐르는 증상입니다.,normal,알레르기 유발 환경을 함께 확인해 보세요.,맑은 콧물;코물;비루
sym-024,기침,bronchitis;asthma;chronic-cough;reflux,호흡기 질환,마른기침 또는 가래 기침이 반복되는 상태입니다.,normal,8주 이상 지속되거나 피가 섞이면 상담이 필요합니다.,마른기침;잔기침;기침 지속
sym-025,가래,bronchitis;chronic-cough,호흡기 질환,기도 분비물이 나오는 증상입니다.,normal,색 변화와 기간을 기록해 보세요.,객담;노란 가래;끈적한 가래
sym-026,관절 통증,arthritis;gout;psoriasis,근골격계 질환,관절 부위의 통증입니다.,normal,붓기 열감 발열이 있으면 진료 상담을 권장합니다.,관절통;무릎 통증;손가락 통증
sym-027,허리 통증,back-pain,근골격계 질환,허리 부위 통증이나 뻣뻣함입니다.,normal,다리 힘 빠짐이나 대소변 이상은 빠른 상담이 필요합니다.,요통;허리아픔;허리
sym-028,목 통증,neck-disc;stress-headache,근골격계 질환,목 주변 통증이나 긴장입니다.,normal,팔 저림이나 힘 빠짐이 있으면 상담을 고려하세요.,목아픔;경추통;목 결림
sym-029,피부 가려움,atopic-dermatitis;urticaria;psoriasis,피부 질환,피부를 긁고 싶은 느낌입니다.,normal,발진 진물 부종을 함께 기록해 보세요.,가려움;소양감;피부 간지러움
sym-030,발진,atopic-dermatitis;urticaria;psoriasis;acne,피부 질환,피부에 붉거나 오돌토돌한 변화가 생긴 상태입니다.,normal,범위와 동반 증상을 기록해 보세요.,피부 발진;붉은 반점;피부 트러블
sym-031,변비,constipation;ibs;hemorrhoids;hemorrhoidal-disease;anal-fissure,소화기 질환,배변이 어렵거나 횟수가 줄어든 상태입니다.,normal,수분 섭취와 식이섬유 섭취를 기록해 보세요.,배변 어려움;딱딱한 변;잔변감
sym-032,설사,diarrhea;ibs;hemorrhoids;anal-fistula,소화기 질환,묽은 변이 자주 나오는 상태입니다.,caution,탈수 혈변 고열이 있으면 진료 상담을 권장합니다.,묽은 변;물설사;잦은 배변
sym-033,복부팽만,ibs;constipation;gastritis,소화기 질환,배에 가스가 차고 불편한 느낌입니다.,normal,식사와 스트레스 상황을 함께 기록하세요.,배가 빵빵;가스 참;복부 더부룩
sym-034,체중 증가,obesity;diabetes;fatty-liver,대사 질환,체중이 늘거나 복부비만이 나타나는 상태입니다.,normal,식사 수면 활동량을 함께 기록해 보세요.,살찜;몸무게 증가;복부비만
sym-035,체중 감소,diabetes;gastritis;depressed-mood,기타,의도하지 않은 체중 감소입니다.,caution,설명되지 않는 체중 감소는 의료기관 상담을 권장합니다.,살빠짐;몸무게 감소;급격한 체중감소
sym-036,식욕 저하,gastritis;depressed-mood;diarrhea,기타,먹고 싶은 마음이 줄어드는 상태입니다.,normal,기간과 체중 변화를 같이 기록하세요.,입맛 없음;식욕 없음;밥맛 없음
sym-037,심장 두근거림,arrhythmia;anxiety;hyperthyroid-placeholder,심혈관 질환,심장이 빠르게 뛰거나 불규칙하게 느껴지는 증상입니다.,caution,실신 가슴통증이 함께 있으면 빠른 상담이 필요합니다.,두근거림;심계항진;심장이 빨리 뜀
sym-038,숨참,asthma;angina;obesity,호흡기 질환,활동 중 또는 휴식 중 숨이 찬 느낌입니다.,caution,말하기 어렵거나 입술이 파래지면 응급 도움을 요청하세요.,숨이 참;호흡 짧음;운동시 숨참
sym-039,손발 저림,neck-disc;carpal-tunnel;diabetes,근골격계 질환,손이나 발이 저리거나 감각이 둔한 느낌입니다.,normal,힘 빠짐이나 감각 저하가 지속되면 상담하세요.,저림;손저림;발저림
sym-040,손목 통증,carpal-tunnel,근골격계 질환,손목 주변 통증이나 저림입니다.,normal,반복 작업과 야간 저림 여부를 기록하세요.,손목아픔;손목 저림;손목터널
sym-041,어깨 통증,frozen-shoulder;neck-disc,근골격계 질환,어깨 부위 통증이나 움직임 제한입니다.,normal,외상 후 심한 통증은 진료가 필요합니다.,어깨아픔;팔 올리기 어려움;견통
sym-042,무릎 통증,arthritis;gout,근골격계 질환,무릎 관절 통증이나 붓기입니다.,normal,열감 붓기 발열을 함께 확인하세요.,무릎아픔;슬통;관절통
sym-043,상복부 통증,gastritis;gallstones,소화기 질환,명치 주변 또는 윗배 통증입니다.,caution,심하거나 반복되면 소화기내과 상담을 권장합니다.,명치통증;윗배통증;위통
sym-044,메스꺼움,gastritis;diarrhea;gallstones,소화기 질환,토할 것 같은 느낌입니다.,normal,구토 지속이나 탈수가 있으면 상담하세요.,오심;울렁거림;속 메스꺼움
sym-045,구토,gastritis;diarrhea;gallstones,소화기 질환,위 내용물이 입으로 나오는 증상입니다.,caution,피가 섞이거나 탈수가 있으면 빠른 상담이 필요합니다.,토함;토하기;구역질
sym-046,신물 역류,reflux,소화기 질환,신맛이나 쓴맛이 목으로 올라오는 느낌입니다.,normal,식후 자세와 야식 여부를 기록하세요.,역류;위산 역류;신트림
sym-047,목 이물감,reflux;chronic-cough;rhinitis,호흡기 질환,목에 무언가 걸린 듯한 느낌입니다.,normal,기침 역류 코 증상을 함께 기록하세요.,목에 걸림;인후 이물감;목 답답
sym-048,마른기침,reflux;chronic-cough;asthma,호흡기 질환,가래가 거의 없는 기침입니다.,normal,야간 식후 운동 후 여부를 기록하세요.,건기침;마른 기침;잔기침
sym-049,복통,ibs;diarrhea;gastritis,소화기 질환,배가 아픈 증상입니다.,normal,심하거나 지속되면 진료 상담을 권장합니다.,배아픔;배 통증;복부 통증
sym-050,잔변감,constipation;ibs;hemorrhoids;hemorrhoidal-disease,소화기 질환,배변 후에도 남은 느낌입니다.,normal,배변 횟수와 변 상태를 기록하세요.,변이 남은 느낌;시원하지 않음;배변 불완전
sym-051,혈변,diarrhea;ibs;constipation,소화기 질환,변에 피가 보이는 증상입니다.,emergency,반복되거나 복통이 동반되면 빠른 진료가 필요합니다.,피 섞인 변;피똥;변에 피
sym-052,탈수,diarrhea;diabetes,기타,수분 부족으로 입마름 소변 감소가 나타나는 상태입니다.,caution,심한 설사 구토와 함께 있으면 의료기관 상담이 필요합니다.,입마름;소변 감소;수분 부족
sym-053,오른쪽 윗배 통증,gallstones;fatty-liver,소화기 질환,오른쪽 상복부가 아픈 증상입니다.,caution,발열 황달 구토가 있으면 빠른 상담이 필요합니다.,우상복부 통증;담낭 통증;오른쪽 배 통증
sym-054,황달,gallstones;fatty-liver,소화기 질환,피부나 눈 흰자가 노랗게 보이는 상태입니다.,caution,새로 나타난 황달은 의료기관 상담을 권장합니다.,눈 노래짐;피부 노래짐;노란 눈
sym-055,재채기,rhinitis,호흡기 질환,반복적으로 재채기가 나는 증상입니다.,normal,환경과 계절성을 기록해 보세요.,재채기 반복;알레르기 재채기;콧물 재채기
sym-056,후비루,rhinitis;chronic-cough,호흡기 질환,콧물이 목 뒤로 넘어가는 느낌입니다.,normal,기침과 목 이물감을 함께 기록하세요.,콧물이 목으로;목 뒤 콧물;후비루감
sym-057,쌕쌕거림,asthma,호흡기 질환,숨쉴 때 쌕쌕 소리가 나는 증상입니다.,caution,숨참이 심하면 응급 도움을 요청하세요.,천명;쌕쌕;쌕쌕 소리
sym-058,가슴 답답함,asthma;angina;anxiety;hypertension,심혈관 질환,가슴이 조이거나 답답한 느낌입니다.,caution,가슴통증 호흡곤란이 있으면 빠른 상담이 필요합니다.,흉부 답답;가슴 막힘;답답함
sym-059,미열,bronchitis;diarrhea,기타,가벼운 열감이나 낮은 열입니다.,normal,기간과 동반 증상을 기록하세요.,열감;약한 열;몸이 뜨거움
sym-060,고열,bronchitis;diarrhea;urticaria,기타,높은 열이 나는 상태입니다.,caution,호흡곤란 의식저하 탈수가 있으면 빠른 상담이 필요합니다.,열 심함;높은 열;발열 심함
sym-061,피 섞인 가래,bronchitis;chronic-cough,호흡기 질환,가래에 피가 섞이는 증상입니다.,emergency,즉시 의료기관 상담을 권장합니다.,객혈;피가래;가래에 피
sym-062,야간 기침,chronic-cough;asthma;reflux,호흡기 질환,밤에 심해지는 기침입니다.,normal,수면 자세 식후 시간과 함께 기록하세요.,밤기침;새벽 기침;자다가 기침
sym-063,관절 붓기,arthritis;gout,근골격계 질환,관절이 붓거나 커진 느낌입니다.,caution,열감 발열이 있으면 진료 상담을 권장합니다.,붓기;관절 부음;관절 종창
sym-064,관절 열감,arthritis;gout,근골격계 질환,관절이 뜨겁게 느껴지는 증상입니다.,caution,통증과 발열이 함께 있으면 상담이 필요합니다.,뜨거운 관절;열나는 관절;관절 발열
sym-065,뻣뻣함,arthritis;back-pain,근골격계 질환,관절이나 근육이 굳은 느낌입니다.,normal,아침 지속 시간과 움직임 후 변화를 기록하세요.,강직;몸이 뻣뻣;관절 강직
sym-066,움직임 제한,arthritis;frozen-shoulder;back-pain,근골격계 질환,관절이나 몸을 움직이기 어려운 상태입니다.,normal,제한 범위와 통증 정도를 기록하세요.,운동 제한;잘 안 움직임;가동범위 제한
sym-067,다리 저림,back-pain;diabetes,근골격계 질환,다리가 저리거나 감각이 둔한 느낌입니다.,normal,힘 빠짐이 있으면 빠른 상담이 필요합니다.,좌골신경;다리 감각저하;하지 저림
sym-068,팔 저림,neck-disc;carpal-tunnel,근골격계 질환,팔이 저리거나 찌릿한 느낌입니다.,normal,목 통증과 함께 기록해 보세요.,팔저림;상지 저림;팔 찌릿
sym-069,손 힘 빠짐,neck-disc;carpal-tunnel,근골격계 질환,손의 힘이 약해진 느낌입니다.,caution,지속되면 신경 관련 상담이 필요할 수 있습니다.,악력 감소;손에 힘 없음;물건 놓침
sym-070,야간 통증,frozen-shoulder;arthritis,근골격계 질환,밤에 심해지는 통증입니다.,normal,수면 자세와 통증 위치를 기록하세요.,밤 통증;자다가 아픔;야간 어깨통증
sym-071,입면 어려움,insomnia;anxiety,정신건강 / 수면,잠자리에 들어도 잠들기 어려운 상태입니다.,normal,수면 시간과 카페인 섭취를 기록하세요.,잠들기 어려움;잠 안옴;입면장애
sym-072,중간 각성,insomnia;anxiety,정신건강 / 수면,잠든 뒤 자주 깨는 상태입니다.,normal,깨는 시간과 이유를 기록하세요.,자주 깸;새벽에 깸;수면 유지 어려움
sym-073,이른 기상,insomnia;depressed-mood,정신건강 / 수면,원하는 시간보다 일찍 깨는 상태입니다.,normal,기상 시간과 낮 피로를 기록하세요.,새벽 기상;일찍 깸;조기각성
sym-074,낮 피로,insomnia;depressed-mood;diabetes,정신건강 / 수면,낮에 피로하거나 졸린 상태입니다.,normal,수면 식사 활동량을 함께 확인하세요.,주간 졸림;낮 졸림;낮 피곤
sym-075,불안감,anxiety,정신건강 / 수면,걱정이나 긴장이 지속되는 느낌입니다.,normal,상황과 신체 증상을 함께 기록하세요.,불안;걱정;긴장감
sym-076,긴장,anxiety;stress-headache,정신건강 / 수면,몸과 마음이 경직되는 느낌입니다.,normal,두통과 목 어깨 긴장을 함께 기록하세요.,긴장됨;초조;몸 긴장
sym-077,공포감,anxiety,정신건강 / 수면,갑작스럽게 무섭거나 견디기 어려운 느낌입니다.,caution,호흡곤란이나 일상 기능 저하가 있으면 상담을 권장합니다.,공황감;무서움;극심한 불안
sym-078,기분 저하,depressed-mood,정신건강 / 수면,기분이 지속적으로 가라앉는 상태입니다.,normal,2주 이상 지속되면 전문 상담을 고려하세요.,우울감;마음 가라앉음;슬픔
sym-079,의욕 저하,depressed-mood,정신건강 / 수면,일상 활동에 대한 의욕이 줄어든 상태입니다.,normal,수면 식사 변화와 함께 기록하세요.,무기력;하기 싫음;흥미 감소
sym-080,목 어깨 긴장,stress-headache;neck-disc,정신건강 / 수면,목과 어깨가 뭉치거나 뻐근한 상태입니다.,normal,화면 사용 시간과 자세를 기록하세요.,어깨결림;목결림;근육 긴장
sym-081,눈 피로,stress-headache,정신건강 / 수면,눈이 피곤하거나 뻑뻑한 느낌입니다.,normal,화면 사용 시간과 두통을 함께 기록하세요.,눈아픔;안구 피로;눈 뻑뻑
sym-082,피부 건조,atopic-dermatitis;psoriasis,피부 질환,피부가 건조하고 당기는 상태입니다.,normal,보습 시간과 환경 습도를 기록하세요.,건조함;피부 당김;건성 피부
sym-083,진물,atopic-dermatitis,피부 질환,피부에서 액체가 나오는 상태입니다.,caution,감염이 의심되면 피부과 상담을 권장합니다.,피부 진물;습진 진물;상처 진물
sym-084,붉은 팽진,urticaria,피부 질환,두드러기처럼 부풀어 오른 붉은 병변입니다.,normal,음식 약물 환경 변화를 기록하세요.,팽진;부어오름;두드러기
sym-085,입술 부종,urticaria,피부 질환,입술이나 혀가 붓는 증상입니다.,emergency,호흡곤란이 동반되면 즉시 응급 도움을 요청하세요.,입술 붓기;혀 부음;얼굴 부종
sym-086,피지 증가,acne,피부 질환,피부 기름기가 늘어난 상태입니다.,normal,수면 화장품 식습관 변화를 기록하세요.,기름기;번들거림;피지
sym-087,붉은 뾰루지,acne,피부 질환,붉고 아픈 피부 병변입니다.,normal,심한 염증이나 흉터 우려가 있으면 상담하세요.,뾰루지;여드름;염증성 여드름
sym-088,각질,psoriasis;atopic-dermatitis,피부 질환,피부 표면이 하얗게 일어나는 상태입니다.,normal,범위와 가려움 정도를 기록하세요.,피부 각질;비늘;하얀 각질
sym-089,피부 갈라짐,psoriasis;atopic-dermatitis,피부 질환,피부가 트거나 갈라지는 상태입니다.,normal,통증 진물 감염 의심 여부를 확인하세요.,갈라짐;피부 트임;균열
sym-090,검진 이상,hyperlipidemia;fatty-liver;arteriosclerosis,기타,검진 결과에서 확인된 이상 소견입니다.,normal,수치를 보관하고 의료진 상담 시 질문을 정리하세요.,건강검진 이상;검사 이상;수치 이상
sym-091,간수치 상승,fatty-liver,대사 질환,AST ALT 등 간 관련 수치가 높게 나온 상태입니다.,caution,반복 상승이면 의료기관 상담을 권장합니다.,ALT 상승;AST 상승;간기능 이상
sym-092,콜레스테롤,hyperlipidemia;arteriosclerosis,대사 질환,혈중 지질 수치와 관련된 검진 항목입니다.,normal,검진 수치와 식습관을 함께 기록하세요.,LDL;HDL;고콜레스테롤
sym-093,중성지방,hyperlipidemia;fatty-liver,대사 질환,혈액 중 중성지방 수치 관련 항목입니다.,normal,음주와 단 음식 섭취를 함께 기록하세요.,TG;트리글리세라이드;지방 수치
sym-094,요산,gout,대사 질환,통풍과 관련될 수 있는 혈액 검사 항목입니다.,normal,수치와 통증 발생일을 함께 기록하세요.,요산수치;uric acid;퓨린
sym-095,발가락 통증,gout,대사 질환,발가락 관절에 나타나는 통증입니다.,caution,갑작스러운 열감과 붓기가 있으면 상담하세요.,엄지발가락 통증;발 통증;통풍 통증
sym-096,복부비만,obesity;fatty-liver;diabetes,대사 질환,복부 중심으로 체지방이 늘어난 상태입니다.,normal,허리둘레와 생활습관을 기록하세요.,배살;허리둘레 증가;중심비만
sym-097,혈압 상승,hypertension,심혈관 질환,혈압 수치가 높게 확인되는 상태입니다.,caution,반복적으로 높으면 의료기관 상담을 권장합니다.,고혈압 수치;혈압 높음;가정혈압 높음
sym-098,기립성 어지러움,hypotension,심혈관 질환,일어설 때 어지러운 증상입니다.,normal,자세 변화와 수분 섭취를 기록하세요.,일어날 때 어지러움;기립성;저혈압 어지러움
sym-099,맥박 불규칙,arrhythmia,심혈관 질환,맥박이 고르지 않게 느껴지는 상태입니다.,caution,두근거림 실신이 함께 있으면 상담이 필요합니다.,불규칙 맥박;맥이 빠짐;맥박 이상
sym-100,다리 통증,arteriosclerosis;back-pain,심혈관 질환,걷거나 움직일 때 다리가 아픈 증상입니다.,normal,운동 시 악화 여부를 기록하고 반복되면 상담하세요.,하지 통증;걸을 때 다리 아픔;종아리 통증
sym-101,식은땀,angina;hypotension;anxiety,기타,갑자기 땀이 나고 몸이 차가운 느낌입니다.,caution,가슴통증이나 실신 느낌이 함께 있으면 빠른 상담이 필요합니다.,찬땀;땀남;식은 땀
sym-102,시야 흐림,diabetes;hypertension,기타,눈앞이 흐릿하게 보이는 증상입니다.,caution,갑자기 발생하거나 반복되면 의료기관 상담을 권장합니다.,눈 흐림;흐릿함;시야 이상
sym-103,상처 회복 지연,diabetes,대사 질환,상처가 평소보다 늦게 아물어 보이는 상태입니다.,caution,반복되면 혈당 등 상담을 고려하세요.,상처가 안 나음;상처 오래감;회복 느림
sym-104,삼킴 곤란,reflux,소화기 질환,음식을 삼키기 어렵거나 걸리는 느낌입니다.,caution,체중 감소나 통증이 함께 있으면 상담이 필요합니다.,연하곤란;삼키기 어려움;목에 걸림
sym-105,발열 동반 통증,arthritis;gout;diarrhea,기타,통증과 열이 함께 나타나는 상태입니다.,caution,감염 가능성을 배제할 수 없어 진료 상담을 권장합니다.,열과 통증;발열 통증;몸살 통증
sym-106,항문 통증,hemorrhoids;hemorrhoidal-disease;anal-fissure;anal-fistula,항문 / 대장 질환,항문 주변에 통증이나 따가움이 느껴지는 증상입니다.,caution,통증이 심하거나 반복되면 대장항문외과 상담을 권장합니다.,항문통증;항문 아픔;똥쌀때 아픔;배변통
sym-107,항문 출혈,hemorrhoids;hemorrhoidal-disease;anal-fissure,항문 / 대장 질환,배변 전후 항문 주변에서 피가 보이는 증상입니다.,caution,출혈이 반복되거나 양이 많으면 의료기관 상담을 권장합니다.,항문출혈;대변 볼 때 피;똥쌀때 피;휴지에 피;변에 피
sym-108,배변 시 통증,hemorrhoids;anal-fissure;hemorrhoidal-disease,항문 / 대장 질환,대변을 볼 때 항문 주변 통증이 나타나는 증상입니다.,normal,변비와 출혈 여부를 함께 기록해 보세요.,배변통;대변 볼 때 아픔;똥쌀때 아픔;항문 통증
sym-109,휴지에 피가 묻음,hemorrhoids;hemorrhoidal-disease;anal-fissure,항문 / 대장 질환,배변 후 휴지에 선홍색 피가 묻는 상태입니다.,caution,반복되면 출혈 원인 확인을 위해 상담이 필요할 수 있습니다.,휴지에 피;화장지에 피;닦을 때 피;선홍색 피
sym-110,변에 피가 묻음,hemorrhoids;hemorrhoidal-disease;anal-fissure,항문 / 대장 질환,대변 표면에 피가 보이는 상태입니다.,caution,반복 출혈이나 검은 변은 의료기관 상담을 권장합니다.,변에 피;대변에 피;피 묻은 변;혈변
sym-111,항문 가려움,hemorrhoids;hemorrhoidal-disease,항문 / 대장 질환,항문 주변이 가렵거나 자극되는 증상입니다.,normal,분비물 출혈 통증 동반 여부를 기록해 보세요.,항문가려움;항문 간지러움;항문 소양감
sym-112,항문 부종,hemorrhoids;hemorrhoidal-disease;anal-fistula,항문 / 대장 질환,항문 주변이 붓거나 덩어리처럼 느껴지는 상태입니다.,caution,통증이 심하거나 열감이 있으면 상담을 권장합니다.,항문부종;항문 부음;항문 덩어리;항문 혹
sym-113,항문 불편감,hemorrhoids;hemorrhoidal-disease;anal-fistula,항문 / 대장 질환,앉거나 배변할 때 항문 주변이 불편한 느낌입니다.,normal,증상 시간과 배변 습관을 함께 기록하세요.,항문불편감;앉을 때 불편;항문 답답함
sym-114,항문 주변 고름,anal-fistula;hemorrhoids,항문 / 대장 질환,항문 주변에서 고름이나 분비물이 보이는 증상입니다.,caution,열감이나 통증이 있으면 빠른 의료기관 상담을 권장합니다.,항문 고름;항문 분비물;고름 나옴;항문 농
